step,gs0,gs1,gs2,
625,956,950,952,
626,956,950,952,
627,956,950,952,
628,956,950,952,
629,956,950,952,
630,956,950,952,
631,956,950,952,
632,956,950,952,
633,955,950,952,
634,955,950,952,
635,956,950,952,
636,956,950,952,
637,955,949,952,
638,955,949,952,
639,955,948,950,
640,956,950,952,
641,956,950,952,
642,956,950,952,
643,956,950,952,
644,956,950,952,
645,956,950,952,
646,955,950,952,
647,955,950,952,
648,956,950,952,
649,956,950,952,
650,954,949,950,
651,954,949,950,
652,955,950,952,
653,955,950,952,
654,956,950,952,
655,956,950,952,
656,956,950,952,
657,956,950,952,
658,956,950,952,
659,956,950,952,
660,956,950,952,
661,956,950,952,
662,956,950,952,
663,956,950,952,
664,955,950,951,
665,955,950,951,
666,955,950,951,
667,955,950,951,
668,956,950,952,
669,956,950,952,
670,956,950,952,
671,955,949,950,
672,955,949,950,
673,954,947,950,
674,954,947,950,
675,954,949,952,
676,954,949,952,
677,956,950,952,
678,956,950,952,
679,955,951,952,
680,955,951,952,
681,954,949,952,
682,954,949,952,
683,955,950,952,
684,955,950,952,
685,954,949,952,
686,954,949,952,
687,954,948,952,
688,954,948,952,
689,954,949,952,
690,954,949,952,
691,954,950,952,
692,954,950,952,
693,954,949,952,
694,954,949,952,
695,954,950,952,
696,954,950,952,
697,954,950,952,
698,954,950,952,
699,954,949,952,
700,954,949,952,
701,954,949,952,
702,954,949,952,
703,953,947,950,
704,953,947,950,
705,954,949,951,
706,954,949,951,
707,955,949,952,
708,955,949,952,
709,954,949,952,
710,954,949,952,
711,954,949,952,
712,954,950,952,
713,954,950,952,
714,954,949,952,
715,954,949,952,
716,955,949,952,
717,955,949,952,
718,954,950,952,
719,954,950,952,
720,954,949,952,
721,954,949,952,
722,955,949,952,
723,955,949,952,
724,955,949,952,
725,955,949,952,
726,954,949,952,
727,954,949,952,
728,955,949,952,
729,955,949,952,
730,954,949,951,
731,954,949,951,
732,954,949,952,
733,954,949,952,
734,955,950,952,
735,955,950,952,
736,954,950,952,
737,954,950,952,
738,955,950,952,
739,955,950,952,
740,955,950,952,
741,955,950,952,
742,955,950,952,
743,955,950,952,
744,955,950,952,
745,955,950,952,
746,955,950,952,
747,955,950,952,
748,955,950,952,
749,955,950,952,
750,956,950,952,
751,956,951,952,
752,956,951,952,
753,956,950,952,
754,956,950,952,
755,956,950,952,
756,956,950,952,
757,956,950,952,
758,956,950,952,
759,956,950,952,
760,956,950,952,
761,956,951,952,
762,956,951,952,
763,956,951,952,
764,956,951,952,
765,956,951,952,
766,956,951,952,
767,956,951,952,
768,956,951,952,
769,956,951,952,
770,956,951,952,
771,956,952,952,
772,956,952,952,
773,956,951,952,
774,956,951,952,
775,956,951,952,
776,956,951,952,
777,952,950,952,
778,952,950,952,
779,814,903,945,
780,814,903,945,
781,519,562,903,
782,519,562,903,
783,492,455,609,
784,492,455,609,
785,483,433,554,
786,479,434,549,
787,479,434,549,
788,466,430,543,
789,466,430,543,
790,486,438,545,
791,486,438,545,
792,476,428,561,
793,476,428,561,
794,494,434,547,
795,494,434,547,
796,487,446,553,
797,487,446,553,
798,472,423,551,
799,472,423,551,
