step,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,
190,0.0,0,145.88,12.620000000000001,8.68,281.82,11.76,0,
191,0.0,3.52,145.88,16.62,0,293.82,0,0,
192,0.0,0,140.88,15.620000000000001,32.68,288.82,0,0,
193,0.0,0,133.88,12.620000000000001,0,300.82,0,1.2200000000000002,
194,0.0,2.52,92.88,17.62,0,301.82,0,3.22,
195,0.0,0,137.88,17.62,10.68,261.82,0,0,
196,0.0,0,137.88,19.62,8.68,286.82,0,6.220000000000001,
197,0.0,0,89.88,16.62,16.68,310.82,0,1.2200000000000002,
198,0.0,0,161.88,20.62,12.68,274.82,0,0,
199,0.0,0,132.88,22.62,7.68,255.82,4.76,0,
200,0.0,0,129.88,23.62,17.68,246.82,1.7599999999999998,0,
201,0.0,0,80.88,23.62,28.68,236.82,0,0.2200000000000002,
202,0.0,0,128.88,27.62,29.68,276.82,0,0,
203,0.0,0,121.88,26.62,8.68,246.82,0,0,
204,0.0,0,85.88,31.62,5.68,335.82,0,0,
205,0.0,0,108.88,31.62,0,305.82,0,3.22,
206,0.0,0,116.88,29.62,28.68,223.82,0,4.220000000000001,
207,0.0,0,113.88,33.620000000000005,21.68,206.82,0,3.22,
208,0.0,0,98.88,31.62,19.68,210.82,0,4.220000000000001,
209,0.0,0,109.88,31.62,20.68,181.82,0,2.22,
210,0.0,0,108.88,28.62,31.68,207.82,0,0.2200000000000002,
211,0.0,0,99.88,32.620000000000005,17.68,223.82,0,1.2200000000000002,
212,0.0,0,131.88,33.620000000000005,8.68,112.82,0,0,
213,0.0,0,97.88,32.620000000000005,29.68,208.82,0,2.22,
214,0.0,0,96.88,35.620000000000005,16.68,189.82,0,2.22,
215,0.0,0,42.88,30.62,15.68,164.82,0,10.22,
216,0.0,0,92.88,35.620000000000005,47.68,139.82,0,0.2200000000000002,
217,0.0,0,86.88,35.620000000000005,15.68,158.82,0,0,
218,0.0,0,84.88,38.620000000000005,31.68,145.82,0,5.220000000000001,
219,0.0,0,99.88,42.620000000000005,13.68,45.82,0,3.22,
220,0.0,0,105.88,39.620000000000005,12.68,149.82,0,3.22,
221,0.0,0,77.88,39.620000000000005,17.68,128.82,0,2.22,
222,0.0,0,73.88,38.620000000000005,49.68,144.82,0,5.220000000000001,
