step,gs0,gs1,gs2,
567,954,948,948,
568,953,949,949,
569,953,949,949,
570,954,949,948,
571,954,949,948,
572,954,949,949,
573,954,949,949,
574,952,949,950,
575,954,949,949,
576,954,949,949,
577,953,949,950,
578,953,949,950,
579,955,949,949,
580,955,949,949,
581,954,949,948,
582,954,949,948,
583,954,949,949,
584,954,949,949,
585,955,949,949,
586,955,949,949,
587,955,949,949,
588,955,949,949,
589,953,949,950,
590,953,949,950,
591,954,949,949,
592,954,949,949,
593,954,949,949,
594,954,949,949,
595,954,948,950,
596,954,948,950,
597,955,949,950,
598,955,949,950,
599,955,949,949,
600,955,949,949,
601,953,949,950,
602,953,949,950,
603,953,948,950,
604,953,948,950,
605,953,949,949,
606,953,949,949,
607,953,949,949,
608,953,949,949,
609,953,949,949,
610,953,949,949,
611,953,949,949,
612,953,947,948,
613,953,947,948,
614,955,949,949,
615,955,949,949,
616,954,949,948,
617,954,949,948,
618,954,949,947,
619,954,949,947,
620,952,947,946,
621,952,947,946,
622,953,948,947,
623,953,948,947,
624,955,949,948,
625,955,949,948,
626,955,948,948,
627,955,948,948,
628,954,948,949,
629,954,948,949,
630,954,948,948,
631,954,948,948,
632,954,948,948,
633,954,948,948,
634,953,948,949,
635,953,948,949,
636,955,948,948,
637,955,948,948,
638,955,948,949,
639,955,948,949,
640,955,949,950,
641,955,949,950,
642,954,948,949,
643,954,948,949,
644,956,950,949,
645,956,950,949,
646,954,950,950,
647,954,950,950,
648,955,950,950,
649,955,950,950,
650,954,950,950,
651,954,950,949,
652,954,950,949,
653,954,950,951,
654,954,950,951,
655,954,950,949,
656,954,950,949,
657,953,949,951,
658,953,949,951,
659,954,949,950,
660,954,949,950,
661,954,949,950,
662,954,949,950,
663,954,949,950,
664,954,949,950,
665,953,948,948,
666,953,948,948,
667,952,947,948,
668,952,947,948,
669,953,949,951,
670,953,949,951,
671,954,950,951,
672,954,950,951,
673,955,950,951,
674,955,950,951,
675,955,950,952,
676,955,950,952,
677,955,950,952,
678,955,950,952,
679,954,950,951,
680,954,950,951,
681,954,950,951,
682,954,950,951,
683,954,949,951,
684,954,949,951,
685,954,949,951,
686,954,949,951,
687,953,948,949,
688,954,949,951,
689,954,949,951,
690,953,949,951,
691,953,949,951,
692,953,949,950,
693,953,949,950,
694,954,950,950,
695,954,950,950,
696,953,949,952,
697,953,949,952,
698,954,949,950,
699,954,949,950,
700,954,949,951,
701,954,949,951,
702,953,950,951,
703,953,950,951,
704,953,950,951,
705,953,950,951,
706,954,950,951,
707,954,950,951,
708,953,950,951,
709,953,950,951,
710,954,950,952,
711,954,950,952,
712,954,949,952,
713,954,949,952,
714,954,949,951,
715,954,949,951,
716,954,948,951,
717,954,948,951,
718,954,949,950,
719,954,949,950,
720,954,948,949,
721,954,948,949,
722,953,948,950,
723,953,948,950,
724,952,948,950,
725,952,948,950,
726,951,947,949,
727,951,947,949,
