step,tof,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7
130,287,0.0,0.0,0.0,0.0,0,0,14.22,3.54,
131,284,0.0,0.0,0.0,0.0,0,0,12.22,0,
132,284,0.0,0.0,0.0,0.0,0,0,26.22,0,
133,284,0.0,0.0,0.0,0.0,0,0,13.22,0,
134,284,0.0,0.0,0.0,0.0,0,0,17.22,0,
135,284,0.0,0.0,0.0,0.0,0,0,7.220000000000001,0,
136,283,0.0,0.0,0.0,0.0,0,0.14000000000000057,12.22,0,
137,283,0.0,0.0,0.0,0.0,0,16.14,14.22,0,
138,283,0.0,0.0,0.0,0.0,0,0,18.22,0,
139,283,0.0,0.0,0.0,0.0,0,1.1400000000000006,8.22,0,
140,283,0.0,0.0,0.0,0.0,0,37.14,19.22,4.54,
141,280,0.0,0.0,0.0,0.0,0,0,17.22,5.54,
142,280,0.0,0.0,0.0,0.0,0,0,18.22,0,
143,280,0.0,0.0,0.0,0.0,0,7.140000000000001,16.22,0,
144,280,0.0,0.0,0.0,0.0,0,0,11.22,0,
145,280,0.0,0.0,0.0,0.0,0,0,5.220000000000001,6.54,
146,280,0.0,0.0,0.0,0.0,0,0,13.22,0,
147,280,0.0,0.0,0.0,0.0,0,0,8.22,0,
148,280,0.0,0.0,0.0,0.0,0,0,12.22,0,
149,280,0.0,0.0,0.0,0.0,0,0,12.22,0,
150,274,0.0,0.0,0.0,0.0,0,0,18.22,0,
151,274,0.0,0.0,0.0,0.0,0,7.140000000000001,11.22,0,
152,274,0.0,0.0,0.0,0.0,0,0,19.22,0,
153,274,0.0,0.0,0.0,0.0,0,0,19.22,5.54,
154,274,0.0,0.0,0.0,0.0,0,0,0,0,
155,273,0.0,0.0,0.0,0.0,0,0,7.220000000000001,0,
156,273,0.0,0.0,0.0,0.0,0,0,9.22,0,
157,273,0.0,0.0,0.0,0.0,0,0,12.22,0,
158,273,0.0,0.0,0.0,0.0,0,0,16.22,0,
159,273,0.0,0.0,0.0,0.0,0,0,18.22,0,
160,269,0.0,0.0,0.0,0.0,0,0,12.22,0,
161,269,0.0,0.0,0.0,0.0,0,0,12.22,0,
162,269,0.0,0.0,0.0,0.0,0,0,7.220000000000001,3.54,
163,269,0.0,0.0,0.0,0.0,0,0,11.22,0,
164,269,0.0,0.0,0.0,0.0,0,0,12.22,0,
165,265,0.0,0.0,0.0,0.0,0,4.140000000000001,20.22,0,
166,265,0.0,0.0,0.0,0.0,0,0,18.22,0,
167,265,0.0,0.0,0.0,0.0,0,0,13.22,0,
168,265,0.0,0.0,0.0,0.0,0,0,8.22,0,
169,265,0.0,0.0,0.0,0.0,0,23.14,20.22,0,
170,265,0.0,0.0,0.0,0.0,0,10.14,2.2200000000000006,0,
171,265,0.0,0.0,0.0,0.0,0,0,13.22,0,
172,265,0.0,0.0,0.0,0.0,0,0,10.22,0,
173,265,0.0,0.0,0.0,0.0,0,0,10.22,0,
174,265,0.0,0.0,0.0,0.0,0,15.14,15.22,0,
175,262,0.0,0.0,0.0,0.0,0,0,10.22,0,
176,262,0.0,0.0,0.0,0.0,0,0,13.22,0,
177,262,0.0,0.0,0.0,0.0,0,0,0.22000000000000064,0,
178,262,0.0,0.0,0.0,0.0,0,0,8.22,0,
179,262,0.0,0.0,0.0,0.0,0,0,11.22,0,
180,265,0.0,0.0,0.0,0.0,0,0,8.22,0,
181,265,0.0,0.0,0.0,0.0,0,0,16.22,0,
182,265,0.0,0.0,0.0,0.0,0,0,10.22,0,
183,265,0.0,0.0,0.0,0.0,0,0,4.220000000000001,0,
184,256,0.0,0.0,0.0,0.0,0,0,9.22,0,
185,256,0.0,0.0,0.0,0.0,0,0,18.22,0,
186,256,0.0,0.0,0.0,0.0,0,0,14.22,0,
187,256,0.0,0.0,0.0,0.0,0,0,5.220000000000001,0,
188,256,0.0,0.0,0.0,0.0,0,0,9.22,5.54,
189,245,0.0,0.0,0.0,0.0,0,0,7.220000000000001,0,
190,245,0.0,0.0,0.0,0.0,0,0,17.22,0,
191,245,0.0,0.0,0.0,0.0,0,0,22.22,0,
192,245,0.0,0.0,0.0,0.0,0,0,10.22,0,
193,245,0.0,0.0,0.0,0.0,0,0,7.220000000000001,0,
194,246,0.0,0.0,0.0,0.0,0,0,9.22,0,
195,246,0.0,0.0,0.0,0.0,0,0,0,3.54,
196,246,0.0,0.0,0.0,0.0,0,0,5.220000000000001,0,
197,246,0.0,0.0,0.0,0.0,0,0,5.220000000000001,0,
198,246,0.0,0.0,0.0,0.0,0,0,6.220000000000001,0,
199,248,0.0,0.0,0.0,0.0,0,0,15.22,0,
200,248,0.0,0.0,0.0,0.0,0,0,8.22,0,
201,248,0.0,0.0,0.0,0.0,0,0,9.22,0,
202,248,0.0,0.0,0.0,0.0,0,0,6.220000000000001,0,
203,248,0.0,0.0,0.0,0.0,0,0,3.2200000000000006,0,
204,251,0.0,0.0,0.0,0.0,0,0,0,0,
205,251,0.0,0.0,0.0,0.0,0,0,4.220000000000001,0,
206,251,0.0,0.0,0.0,0.0,0,0,3.2200000000000006,0,
207,251,0.0,0.0,0.0,0.0,0,0,7.220000000000001,0,
208,251,0.0,0.0,0.0,0.0,0,0,10.22,0,
209,242,0.0,0.0,0.0,0.0,0,0,4.220000000000001,0,
210,242,0.0,0.0,0.0,0.0,0,11.14,7.220000000000001,0,
211,242,0.0,0.0,0.0,0.0,0,5.140000000000001,4.220000000000001,0,
212,242,0.0,0.0,0.0,0.0,0,0,10.22,0,
213,242,0.0,0.0,0.0,0.0,8.76,0,0.22000000000000064,0,
214,239,0.0,0.0,0.0,0.0,0,11.14,16.22,0,
215,239,0.0,0.0,0.0,0.0,0,0,10.22,0,
216,239,0.0,0.0,0.0,0.0,0,0,6.220000000000001,0,
217,239,0.0,0.0,0.0,0.0,0,0,6.220000000000001,0,
218,239,0.0,0.0,0.0,0.0,0,0,6.220000000000001,0,
219,234,0.0,0.0,0.0,0.0,0,0,13.22,4.54,
220,234,0.0,0.0,0.0,0.0,0,0,3.2200000000000006,0,
221,234,0.0,0.0,0.0,0.0,0,16.14,6.220000000000001,18.54,
222,234,0.0,0.0,0.0,0.0,0,0,0,0,
223,231,0.0,0.0,0.0,0.0,0,0,1.2200000000000006,0,
224,231,0.0,0.0,0.0,0.0,0,0,6.220000000000001,0,
225,231,0.0,0.0,0.0,0.0,0,0,0,0,
226,231,0.0,0.0,0.0,0.0,0,0,8.22,0,
227,231,0.0,0.0,0.0,0.0,0,0,14.22,0,
228,230,0.0,0.0,0.0,0.0,0,0,6.220000000000001,16.54,
229,230,0.0,0.0,0.0,0.0,0,0,2.2200000000000006,0,
230,230,0.0,0.0,0.0,0.0,0,0,10.22,0,
231,230,0.0,0.0,0.0,0.0,0,0,8.22,0,
232,230,0.0,0.0,0.0,0.0,0,0,17.22,0.54,
233,229,0.0,0.0,0.0,0.0,0,2.1400000000000006,7.220000000000001,0,
234,229,0.0,0.0,0.0,0.0,0,0,12.22,0,
235,229,0.0,0.0,0.0,0.0,0,0,12.22,0,
236,229,0.0,0.0,0.0,0.0,0,22.14,18.22,12.54,
237,229,0.0,0.0,0.0,0.0,0,0,1.2200000000000006,0,
238,224,0.0,0.0,0.0,0.0,0,0,10.22,0,
239,224,0.0,0.0,0.0,0.0,0,0,7.220000000000001,4.54,
240,224,0.0,0.0,0.0,0.0,0,0,21.22,16.54,
241,224,0.0,0.0,0.0,0.0,0,8.14,9.22,0,
242,224,0.0,0.0,0.0,0.0,0,0,7.220000000000001,0,
243,219,0.0,0.0,0.0,0.0,0,0,0,2.54,
244,219,0.0,0.0,0.0,0.0,0,0,9.22,2.54,
